ActorID,ActorName,ACTOR_TYPE,USUAL_SUSPECTS,size,imports
11,Ashkan_Soltani,Academic-Researcher,0,7,"ISSUE.e-commerce,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection"
12,Association_for_Progressive_Communications,Non_Profit,0,7,"ISSUE.digital_divide,ISSUE.race-gender-class,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,RTS_CONCERN.citizens_speech_rights,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,RTS_CONCERN.social_justice-anti-discrimination"
13,Bill_of_Rights_Defense_Committee,Non_Profit,0,10,"ISSUE.law_enforcement_public_safety,ISSUE.national_security,ISSUE.race-gender-class,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_sharing,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,RTS_CONCERN.social_justice-anti-discrimination"
14,BoxCryptor_,Tool,0,5,"PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_security,RTS_CONCERN.consumer_protection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
15,Bryan_Choi,Academic-Researcher,0,8,"ISSUE.copyright,ISSUE.e-commerce,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.citizens_speech_rights,RTS_CONCERN.consumer_protection"
16,California_Office_of_Privacy_Protection,US_State-Regional,0,8,"ISSUE.children-youth,ISSUE.e-government,ISSUE.finances,ISSUE.health,ISSUE.labor_workplace,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,RTS_CONCERN.consumer_protection"
17,CalOHii,US_State-Regional,0,7,"ISSUE.health,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection,RTS_CONCERN.protection_of_vulnerable_populations"
18,Carl_Landwehr,Academic-Researcher,0,5,"ISSUE.e-commerce,ISSUE.finances,ISSUE.health,PRIVTECH_CONCERN.data_security,RTS_CONCERN.consumer_protection"
19,Cato_Institute,Non_Profit,0,8,"ISSUE.e-commerce,ISSUE.e-government,ISSUE.law_enforcement_public_safety,ISSUE.national_security,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_profiling,RTS_CONCERN.citizens_speech_rights,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
20,Center_for_Democracy_and_Technology,Non_Profit,1,17,"ISSUE.digital_divide,ISSUE.e-government,ISSUE.energy,ISSUE.health,ISSUE.law_enforcement_public_safety,ISSUE.national_security,ISSUE.race-gender-class,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_identification,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.citizens_speech_rights,RTS_CONCERN.consumer_protection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
21,Center_for_Digital_Democracy,Non_Profit,1,16,"ISSUE.children-youth,ISSUE.digital_divide,ISSUE.e-commerce,ISSUE.e-government,ISSUE.health,ISSUE.labor_workplace,ISSUE.race-gender-class,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_identification,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_sharing,RTS_CONCERN.consumer_protection,RTS_CONCERN.protection_of_vulnerable_populations,RTS_CONCERN.social_justice-anti-discrimination"
22,Center_for_Financial_Privacy_and_Human_Rights,Non_Profit,1,11,"ISSUE.e-government,ISSUE.finances,ISSUE.health,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
23,Center_for_Media_Justice,Non_Profit,0,7,"ISSUE.digital_divide,ISSUE.race-gender-class,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_sharing,RTS_CONCERN.social_justice-anti-discrimination"
24,Center_for_Media_Literacy,Non_Profit,0,4,"ISSUE.children-youth,PRIVTECH_CONCERN.data_controls-notice_and_consent,RTS_CONCERN.consumer_protection,RTS_CONCERN.protection_of_vulnerable_populations"
25,Chicago_Media_Action,Non_Profit,0,4,"ISSUE.digital_divide,PRIVTECH_CONCERN.data_controls-notice_and_consent,RTS_CONCERN.citizens_speech_rights,RTS_CONCERN.consumer_protection"
26,Chris_Hoofnagle,Academic-Researcher,0,10,"ISSUE.children-youth,ISSUE.e-commerce,ISSUE.finance,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection,RTS_CONCERN.protection_of_vulnerable_populations"
27,Christopher_Soghoian,Academic-Researcher,0,9,"ISSUE.e-commerce,ISSUE.finances,ISSUE.law_enforcement_public_safety,ISSUE.national_security,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_sharing,RTS_CONCERN.consumer_protection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
28,Colette_Vogele,Academic-Researcher,0,5,"ISSUE.copyright,ISSUE.e-commerce,PRIVTECH_CONCERN.data_controls-notice_and_consent,RTS_CONCERN.citizens_speech_rights,RTS_CONCERN.consumer_protection"
29,Color_of_Change,Non_Profit,0,6,"ISSUE.digital_divide,ISSUE.e-government,ISSUE.race-gender-class,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_profiling,RTS_CONCERN.social_justice-anti-discrimination"
30,Common_Sense_Media_,Non_Profit,0,7,"ISSUE.children-youth,ISSUE.e-commerce,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_identification,RTS_CONCERN.consumer_protection,RTS_CONCERN.protection_of_vulnerable_populations"
31,Computer_Professionals_for_Social_Responsibility,Non_Profit,0,8,"ISSUE.e-commerce,ISSUE.law_enforcement_public_safety,ISSUE.national_security,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
32,Consumer_Federation_of_America,Non_Profit,1,6,"ISSUE.e-commerce,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_sharing,RTS_CONCERN.consumer_protection"
33,Consumer_Watchdog,Non_Profit,1,6,"ISSUE.e-commerce,ISSUE.finances,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,RTS_CONCERN.consumer_protection"
34,Consumers_Union,Non_Profit,1,7,"ISSUE.children-youth,ISSUE.e-commerce,ISSUE.health,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_identification,PRIVTECH_CONCERN.data_profiling,RTS_CONCERN.consumer_protection"
35,Craig_Wills,Academic-Researcher,0,6,"ISSUE.e-commerce,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_sharing,RTS_CONCERN.consumer_protection"
36,Cryptocat,Tool,0,6,"RTS_CONCERN.protection_of_vulnerable_populations,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,RTS_CONCERN.consumer_protection,RTS_CONCERN.citizens_speech_rights,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_collection"
37,Daniel_Solove,Academic-Researcher,0,13,"RTS_CONCERN.protection_of_vulnerable_populations,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,RTS_CONCERN.consumer_protection,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_collection,ISSUE.health,ISSUE.finances,ISSUE.e-commerce,ISSUE.children-youth"
38,Danielle_Keats_Citron,Academic-Researcher,0,11,"RTS_CONCERN.protection_of_vulnerable_populations,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,RTS_CONCERN.consumer_protection,RTS_CONCERN.citizens_speech_rights,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_collection,ISSUE.race-gender-class,ISSUE.e-commerce,ISSUE.children-youth"
39,David_Baumer,Academic-Researcher,0,7,"RTS_CONCERN.consumer_protection,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_controls-notice_and_consent,ISSUE.health,ISSUE.finances,ISSUE.e-commerce"
40,David_Wagner,Academic-Researcher,0,6,"RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,RTS_CONCERN.consumer_protection,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_controls-notice_and_consent,ISSUE.e-government"
41,Deirdre_Mulligan,Academic-Researcher,0,10,"RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,RTS_CONCERN.consumer_protection,RTS_CONCERN.citizens_speech_rights,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_collection,ISSUE.e-government,ISSUE.copyright"
42,Detroit_Digital_Justice_Coalition,Non_Profit,0,5,"RTS_CONCERN.social_justice-anti-discrimination,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_controls-notice_and_consent,ISSUE.race-gender-class,ISSUE.digital_divide"
43,Digital_Due_Process,Non_Profit,0,5,"RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_collection,ISSUE.national_security,ISSUE.law_enforcement_public_safety"
44,Ed_Felten,Academic-Researcher,0,8,"RTS_CONCERN.consumer_protection,RTS_CONCERN.citizens_speech_rights,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_collection,ISSUE.copyright,ISSUE.e-commerce,ISSUE.e-government,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
45,"Edward_McNicholas,_Sidley_Austin",Attorney-Litigator,0,8,"RTS_CONCERN.protection_of_vulnerable_populations,RTS_CONCERN.consumer_protection,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_profiling,ISSUE.finances,ISSUE.e-commerce,ISSUE.children-youth"
46,Electronic_Frontier_Foundation,Non_Profit,1,15,"RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,RTS_CONCERN.consumer_protection,RTS_CONCERN.citizens_speech_rights,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_identification,PRIVTECH_CONCERN.data_controls-notice_and_consent,ISSUE.copyright,ISSUE.digital_divide,ISSUE.e-commerce,ISSUE.law_enforcement_public_safety,ISSUE.national_security,PRIVTECH_CONCERN.data_collection"
47,Electronic_Privacy_Information_Center,Non_Profit,1,15,"ISSUE.e-government,ISSUE.finances,ISSUE.health,ISSUE.labor_workplace,ISSUE.law_enforcement_public_safety,ISSUE.national_security,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_identification,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.citizens_speech_rights,RTS_CONCERN.consumer_protection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
48,Elisa_Bertino,Academic-Researcher,0,3,"ISSUE.e-commerce,PRIVTECH_CONCERN.data_security,RTS_CONCERN.consumer_protection"
49,European_Digital_Rights_Institute,Non_Profit,0,10,"ISSUE.law_enforcement_public_safety,ISSUE.national_security,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
50,European_Union,International_Bodies,0,7,"ISSUE.e-commerce,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection"
51,Federal_Commissioner_for_Data_Protection_and_Freedom_of_Information,Foreign_National_Level),0,9,"ISSUE.e-commerce,ISSUE.e-government,ISSUE.energy,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection"
52,Federal_Communications_Commission,US_National_Level),0,8,"ISSUE.digital_divide,ISSUE.e-commerce,ISSUE.e-government,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection"
53,Federal_Trade_Commission,US_National_Level),0,11,"ISSUE.children-youth,ISSUE.e-commerce,ISSUE.finances,ISSUE.health,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection,RTS_CONCERN.protection_of_vulnerable_populations"
54,Federation_of_German_Consumer_Organisations_-_Verbraucherzentrale_Bundesverband,Non_Profit,0,4,"ISSUE.e-commerce,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,RTS_CONCERN.consumer_protection"
55,First_Amendment_Coalition,Non_Profit,0,8,"ISSUE.e-government,ISSUE.law_enforcement_public_safety,ISSUE.national_security,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,RTS_CONCERN.citizens_speech_rights,RTS_CONCERN.consumer_protection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
56,Fred_Cate,Academic-Researcher,0,14,"ISSUE.copyright,ISSUE.e-government,ISSUE.finances,ISSUE.health,ISSUE.law_enforcement_public_safety,ISSUE.national_security,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
57,Free_Press,Non_Profit,1,5,"ISSUE.copyright,ISSUE.e-commerce,PRIVTECH_CONCERN.data_collection,RTS_CONCERN.citizens_speech_rights,RTS_CONCERN.consumer_protection"
58,Free_Press_Unlimited,Non_Profit,0,4,"ISSUE.digital_divide,PRIVTECH_CONCERN.data_controls-notice_and_consent,RTS_CONCERN.citizens_speech_rights,RTS_CONCERN.social_justice-anti-discrimination"
59,Future_of_Privacy_Forum,Non_Profit,1,11,"ISSUE.children-youth,ISSUE.e-commerce,ISSUE.finances,ISSUE.health,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection"
60,Gene_Spafford_,Academic-Researcher,0,4,"ISSUE.e-commerce,ISSUE.health,PRIVTECH_CONCERN.data_security,RTS_CONCERN.consumer_protection"
61,Ghostery,Tool,0,4,"PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,RTS_CONCERN.consumer_protection"
62,Guardian_Project,Tool,0,7,"ISSUE.e-commerce,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_security,RTS_CONCERN.citizens_speech_rights,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,RTS_CONCERN.protection_of_vulnerable_populations"
63,Helen_Nissenbaum,Academic-Researcher,0,8,"ISSUE.e-commerce,ISSUE.e-government,ISSUE.national_security,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_sharing,RTS_CONCERN.consumer_protection"
64,"Helen_R._Pfister,_Manatt,_Phelps_&_Phillips_LLP",Attorney-Litigator,0,6,"ISSUE.e-government,ISSUE.health,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_security,RTS_CONCERN.consumer_protection,RTS_CONCERN.protection_of_vulnerable_populations"
65,Hushmail_,Tool,0,5,"PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,RTS_CONCERN.consumer_protection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,RTS_CONCERN.protection_of_vulnerable_populations"
66,INCITE!,Non_Profit,0,4,"ISSUE.digital_divide,ISSUE.race-gender-class,PRIVTECH_CONCERN.data_profiling,RTS_CONCERN.social_justice-anti-discrimination"
67,International_Association_of_Privacy_Professionals,Professional_group,0,10,"ISSUE.e-commerce,ISSUE.energy,ISSUE.health,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection"
68,Ira_Rubinstein,Academic-Researcher,0,4,"ISSUE.e-commerce,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,RTS_CONCERN.consumer_protection"
69,Jeffrey_Rosen,Academic-Researcher,0,9,"ISSUE.e-government,ISSUE.law_enforcement_public_safety,ISSUE.national_security,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_sharing,RTS_CONCERN.consumer_protection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
70,Jens_Grossklags,Academic-Researcher,0,4,"PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,RTS_CONCERN.consumer_protection,ISSUE.e-commerce"
71,John_T._Soma,Academic-Researcher,0,8,"ISSUE.e-commerce,ISSUE.law_enforcement_public_safety,ISSUE.national_security,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_security,RTS_CONCERN.consumer_protection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
72,"Jonathan_Hillel,_Skadden_Arps",Attorney-Litigator,0,7,"ISSUE.e-commerce,ISSUE.national_security,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,RTS_CONCERN.consumer_protection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
73,Jonathan_Mayer,Academic-Researcher,0,8,"RTS_CONCERN.consumer_protection,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_collection,ISSUE.e-commerce"
74,Joseph_Lorenzo_Hall,Academic-Researcher,0,6,"RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,RTS_CONCERN.citizens_speech_rights,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_security,ISSUE.health,ISSUE.e-government"
75,Joseph_Turow,Academic-Researcher,0,8,"RTS_CONCERN.protection_of_vulnerable_populations,RTS_CONCERN.consumer_protection,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_collection,ISSUE.e-government,ISSUE.e-commerce,ISSUE.children-youth"
76,"Julia_Kernochan_Tama,_Venable_LLP",Attorney-Litigator,0,13,"RTS_CONCERN.protection_of_vulnerable_populations,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,RTS_CONCERN.consumer_protection,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_collection,ISSUE.national_security,ISSUE.law_enforcement_public_safety,ISSUE.health,ISSUE.finances,ISSUE.e-commerce,ISSUE.children-youth"
77,Julie_Earp,Academic-Researcher,0,7,"RTS_CONCERN.consumer_protection,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_controls-notice_and_consent,ISSUE.health,ISSUE.finances,ISSUE.e-commerce"
78,"Kirk_Nahra,_Wiley_Rein",Attorney-Litigator,0,5,"RTS_CONCERN.consumer_protection,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_identification,ISSUE.health"
79,"Kristen_Mathews,__Proskauer_Rose",Attorney-Litigator,0,12,"RTS_CONCERN.protection_of_vulnerable_populations,RTS_CONCERN.consumer_protection,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_collection,ISSUE.health,ISSUE.finances,ISSUE.e-commerce,ISSUE.children-youth"
80,Latanya_Sweeney,Academic-Researcher,0,8,"RTS_CONCERN.protection_of_vulnerable_populations,RTS_CONCERN.consumer_protection,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_controls-notice_and_consent,ISSUE.health"
81,Liberty_Coalition,Non_Profit,1,10,"ISSUE.national_security,ISSUE.law_enforcement_public_safety,ISSUE.labor_workplace,ISSUE.health,ISSUE.finances,ISSUE.e-government,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_collection"
82,"Lisa_Sotto,_Hunton_&_Williams",Attorney-Litigator,0,5,"RTS_CONCERN.consumer_protection,PRIVTECH_CONCERN.data_storage,PRIVTECH_CONCERN.data_security,ISSUE.health,ISSUE.e-commerce"
83,"Lydia_Parnes,_Wilson_Sonsini_Goodrich_and_Rosati",Attorney-Litigator,0,4,"RTS_CONCERN.consumer_protection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_collection,ISSUE.e-commerce"
84,Media_Alliance,Non_Profit,0,7,"RTS_CONCERN.social_justice-anti-discrimination,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_controls,PRIVTECH_CONCERN.data_collection,ISSUE.race-gender-class,ISSUE.digital_divide"
