ACTOR,ACTOR_TYPE,USUAL_SUSPECTS,numLinks,PRIVTECH_CONCERN1,PRIVTECH_CONCERN2,PRIVTECH_CONCERN3,PRIVTECH_CONCERN4,PRIVTECH_CONCERN5,PRIVTECH_CONCERN6,PRIVTECH_CONCERN7,RTS_CONCERN1,RTS_CONCERN2,RTS_CONCERN3,RTS_CONCERN4,ISSUE1,ISSUE2,ISSUE3,ISSUE4,ISSUE5,ISSUE6,ISSUE7
Electronic Frontier Foundation,Non profit,1,15,data collection,data storage,data security,data identification,data sharing,data profiling,data controls/notice and consent,freedom from government surveillance/civil liberties,citizens' speech rights,consumer protection,,national security,law enforcement/public safety,digital divide,copyright,e-commerce,,
Electronic Privacy Information Center,Non profit,1,15,data collection,data storage,data identification,data sharing,data profiling,data controls/notice and consent,,freedom from government surveillance/civil liberties,consumer protection,citizens' speech rights,,finances,health,labor/workplace,national security,law enforcement/public safety,e-government,
"Elisa Bertino (Computer Science, Purdue University)",Academic/Researcher,0,3,data security,,,,,,,consumer protection,,,,e-commerce,,,,,,
European Digital Rights Institute,Non profit coalition,0,10,data collection,data storage,data security,data sharing,data profiling,data controls/notice and consent,,consumer protection,freedom from government surveillance/civil liberties,,,national security,law enforcement/public safety,,,,,
European Union,International Bodies,0,7,data collection,data storage,data sharing,data profiling,data controls/notice and consent,,,consumer protection,,,,e-commerce,,,,,,
Federal Commissioner for Data Protection and Freedom of Information (Germany),Foreign (National Level),0,9,data collection,data storage,data security,data sharing,data profiling,,,consumer protection,,,,e-government,energy,e-commerce,,,,
Federal Communications Commission,US (National Level),0,8,data collection,data storage,data profiling,data controls/notice and consent,,,,consumer protection,,,,digital divide,e-government,e-commerce,,,,
Federal Trade Commission,US (National Level),0,11,data collection,data storage,data sharing,data profiling,data controls/notice and consent,,,consumer protection,protection of vulnerable populations,,,finances,health,children/youth,e-commerce,,,
Federation of German Consumer Organisations - Verbraucherzentrale Bundesverband,Non profit coalition,0,4,data collection,data controls/notice and consent,,,,,,consumer protection,,,,e-commerce,,,,,,
First Amendment Coalition,Non profit coalition,0,8,data collection,data controls/notice and consent,,,,,,consumer protection,freedom from government surveillance/civil liberties,citizens' speech rights,,national security,law enforcement/public safety,e-government,,,,
"Fred Cate (Maurer School of Law, Center for Applied Cybersecurity Research, Center for Law, Ethics and Applied Research in Health Information; Indiana University)",Academic/Researcher,0,14,data collection,data storage,data security,data sharing,data profiling,data controls/notice and consent,,freedom from government surveillance/civil liberties,consumer protection,,,finances,health,national security,law enforcement/public safety,e-government,copyright,
Free Press,Non profit**,1,5,data collection,,,,,,,consumer protection,citizens' speech rights,,,e-commerce,copyright,,,,,
Free Press Unlimited,Non profit**,0,4,data controls/notice and consent,,,,,,,citizens' speech rights,social justice/anti-discrimination,,,digital divide,,,,,,
Future of Privacy Forum,Non profit/for profit coalition,1,11,data collection,data storage,data security,data sharing,data profiling,data controls/notice and consent,,consumer protection,,,,children/youth,finances,health,e-commerce,,,
"Gene Spafford  (Computer Science, Purdue University)",Academic/Researcher,0,4,data security,,,,,,,consumer protection,,,,health,e-commerce,,,,,
Ghostery,Tool,0,4,data collection,data profiling,data controls/notice and consent,,,,,consumer protection,,,,,,,,,,
Guardian Project,Tool,0,7,data collection,data security,data controls/notice and consent,,,,,freedom from government surveillance/civil liberties,protection of vulnerable populations,citizens' speech rights,,e-commerce,,,,,,
"Helen Nissenbaum (Media, Culture and Communication, Computer Science; New York University)",Academic/Researcher,0,8,data collection,data sharing,data profiling,data controls/notice and consent,,,,consumer protection,,,,e-government,e-commerce,national security,,,,
"Helen R. Pfister, Manatt, Phelps & Phillips LLP ",Attorney/Litigator,0,6,data security,data controls/notice and consent,,,,,,protection of vulnerable populations,consumer protection,,,health,e-government,,,,,
Hushmail ,Tool,0,5,data collection,data controls/notice and consent,,,,,,freedom from government surveillance/civil liberties,protection of vulnerable populations,consumer protection,,,,,,,,
INCITE!,Non profit**,0,4,data profiling,,,,,,,social justice/anti-discrimination,,,,digital divide,race/gender/class,,,,,
International Association of Privacy Professionals,Professional group,0,10,data collection,data storage,data security,data sharing,data profiling,data controls/notice and consent,,consumer protection,,,,energy,e-commerce,health,,,,
"Ira Rubinstein (School of Law, New York University)",Academic/Researcher,0,4,data collection,data controls/notice and consent,,,,,,consumer protection,,,,e-commerce,,,,,,
"Jeffrey Rosen (School of Law, George Washington University)",Academic/Researcher,0,9,data collection,data sharing,data profiling,data controls/notice and consent,,,,freedom from government surveillance/civil liberties,consumer protection,,,national security,law enforcement/public safety,e-government,,,,
"Jens Grossklags (College of Information Sciences and Technology, Penn State University)",Academic/Researcher,0,4,data collection,data controls/notice and consent,,,,,,consumer protection,,,,e-commerce,,,,,,
"John T. Soma (Sturm College of Law, Denver University)",Academic/Researcher,,8,data collection,data security,data profiling,,,,,freedom from government surveillance/civil liberties,consumer protection,,,national security,law enforcement/public safety,e-commerce,,,,
"Jonathan Hillel, Skadden Arps",Attorney/Litigator,,7,data collection,data  profiling,data controls/notice and consent,,,,,freedom from government surveillance/civil liberties,consumer protection,,,e-commerce,national security,,,,,
Jonathan Mayer (Computer Science; School of Law; Stanford University),Academic/Researcher,,8,data collection,data storage,data security,data sharing,data profiling,data controls/notice and consent,,consumer protection,,,,e-commerce,,,,,,
"Joseph Lorenzo Hall (Postdoctoral Research Fellow, Media, Culture and Communication; New York University)",Academic/Researcher,,6,data storage,data security,,,,,,freedom from government surveillance/civil liberties,citizens' speech rights,,,health,e-government,,,,,
Joseph Turow (Annenberg School of Communication; University of Pennsylvania),Academic/Researcher,0,8,data collection,data profiling,data controls/notice and consent,,,,,protection of vulnerable populations,consumer protection,,,e-government,children/youth,e-commerce,,,,
"Julia Kernochan Tama, Venable LLP",Attorney/Litigator,0,13,data collection,data storage,data security,data profiling,,,,freedom from government surveillance/civil liberties,protection of vulnerable populations,consumer protection,,children/youth,finances,health,national security,law enforcement/public safety,e-commerce,
"Julie Earp  (Poole College of Management, North Carolina State University)",Academic/Researcher,0,7,data storage,data security,data controls/notice and consent,,,,,consumer protection,,,,health,finances,e-commerce,,,,
"Kirk Nahra, Wiley Rein",Attorney/Litigator,0,5,data storage,data identification,data security,,,,,consumer protection,,,,health,,,,,,
"Kristen Mathews,  Proskauer Rose",Attorney/Litigator,0,12,data collection,data storage,data security,data sharing,data profiling,data controls/notice and consent,,protection of vulnerable populations,consumer protection,,,children/youth,finances,health,e-commerce,,,
Latanya Sweeney (Data Protection Lab; Harvard University),Academic/Researcher,0,8,data storage,data security,data sharing,data profiling,data controls/notice and consent,,,protection of vulnerable populations,consumer protection,,,health,,,,,,
Liberty Coalition,Non profit,1,10,data collection,data storage,data controls/notice and consent,,,,,freedom from government surveillance/civil liberties,,,,finances,health,labor/workplace,national security,law enforcement/public safety,e-government,
"Lisa Sotto, Hunton & Williams",Attorney/Litigator,0,5,data storage,data security,,,,,,consumer protection,,,,health,e-commerce,,,,,
"Lydia Parnes, Wilson Sonsini Goodrich and Rosati",Attorney/Litigator,0,4,data collection,data controls/notice and consent,,,,,,consumer protection,,,,e-commerce,,,,,,
Media Alliance,Non profit**,0,7,data collection,data profiling,data controls,,,,,freedom from government surveillance/civil liberties,social justice/anti-discrimination,,,digital divide,race/gender/class,,,,,
Media Literacy Project,Non profit**,0,7,data collection,data profiling,data controls/notice and consent,,,,,social justice/anti-discrimination,citizens' speech rights,,,digital divide,race/gender/class,,,,,
MediaSmarts,Non profit**,0,4,data controls/notice and consent,,,,,,,consumer protection,protection of vulnerable populations,,,children/youth,,,,,,
MelonCard ,Tool,0,5,data collection,data profiling,data sharing,data controls/notice and consent,,,,consumer protection,,,,,,,,,,
Microsoft,Private Sector,0,6,data controls/notice and consent,,,,,,,consumer protection,,,,children/youth,energy,law enforcement/public safety,e-commerce,,,
"Mike Atallah (Computer Science, Purdue University)",Academic/Researcher,0,3,data security,,,,,,,consumer protection,,,,e-commerce,,,,,,
MobileScope,Tool,0,6,data collection,data security,data controls/notice and consent,,,,,freedom from government surveillance/civil liberties,protection of vulnerable populations,consumer protection,,,,,,,,
Mozilla,Private Sector,0,4,data collection,data controls/notice and consent,,,,,,consumer protection,,,,e-commerce,,,,,,
Nathan Good (Independent; formerly at University of California Berkeley) ,Academic/Researcher,0,5,data security,data controls/notice and consent,,,,,,consumer protection,citizens' speech rights,,,copyright,,,,,,
National Association of Consumer Advocates,Non profit coalition,1,9,data collection,data storage,data sharing,data profiling,data controls/notice and consent,,,consumer protection,protection of vulnerable populations,,,finances,e-commerce,,,,,
National Consumers League,Non profit coalition,1,11,data collection,data sharing,data profiling,data controls,notice and consent,,,consumer protection,social justice/anti-discrimination,protection of vulnerable populations,,children/youth,finances,e-commerce,,,,
National Health Council,US (National Level),0,8,data storage,data sharing,data security,data controls/notice and consent,,,,consumer protection,protection of vulnerable populations,,,health,e-government,,,,,
National Telecommunications and Information Administration,US (National Level),0,8,data collection,data profiling,data controls/notice and consent,,,,,consumer protection,,,,children/youth,finances,law enforcement/public safety,e-commerce,,,
Nick Doty (School of Information; University of California Berkeley),Academic/Researcher,0,9,data collection,data storage,data security,data sharing,data profiling,data controls/notice and consent,,freedom from government surveillance/civil liberties,consumer protection,,,e-commerce,,,,,,
"Ninghui Li (Computer Science, Purdue University)",Academic/Researcher,0,4,data controls,notice and consent,,,,,,consumer protection,,,,e-commerce,,,,,,
Norwegian Consumer Council (Norway),Foreign (National Level),0,9,data collection,data storage,data controls/notice and consent,,,,,consumer protection,protection of vulnerable populations,,,children/youth,finances,health,e-commerce,,,
Ofcom (UK),Foreign (National Level),0,12,data collection,data storage,data sharing,data profiling,data controls,notice and consent,,consumer protection,,,,children/youth,finances,health,digital divide,e-government,,
Office of the Privacy Commissioner (Australia),Foreign (National Level),0,14,data collection,data storage,data security,data sharing,data profiling,,,consumer protection,protection of vulnerable populations,social justice/anti-discrimination,,children/youth,finances,health,labor/workplace,e-government,e-commerce,
Office of the Privacy Commissioner of Canada (OPC) ,Foreign (National Level),0,8,data collection,data controls/notice and consent,,,,,,consumer protection,protection of vulnerable populations,,,children/youth,law enforcement/public safety,digital divide,e-government,,,
OpenMedia.ca,Non profit,0,6,data collection,data storage,,,,,,freedom from government surveillance/civil liberties,consumer protection,,,national security,law enforcement/public safety,,,,,
Organisation for Economic Co-operation and Development ,International Bodies,0,7,data collection,data storage,data sharing,data profiling,data controls/notice and consent,,,consumer protection,,,,e-commerce,,,,,,
Ostel,Tool,0,6,data collection,data security,data controls/notice and consent,,,,,freedom from government surveillance/civil liberties,protection of vulnerable populations,consumer protection,,,,,,,,
Pam Samuelson (School of Information; School of Law; University of California Berkeley),Academic/Researcher,0,4,data collection,,,,,,,consumer protection,citizens' speech rights,,,copyright,,,,,,
Patient Privacy Rights,Non profit,0,9,data storage,data security,data sharing,data profiling,data controls/notice and consent,,,consumer protection,protection of vulnerable populations,,,health,e-government,,,,,
"Patricia Bellia (School of Law, Notre Dame)",Academic/Researcher,0,5,data collection,data controls/notice and consent,,,,,,freedom from government surveillance/civil liberties,,,,national security,law enforcement/public safety,,,,,
Paul Ohm (School of Law; University of Colorado),Academic/Researcher,0,6,data collection,data storage,data controls/notice and consent,,,,,consumer protection,citizens' speech rights,,,copyright,,,,,,
Paul Schwartz (Berkeley Center for Law and Technology; University of California Berkeley),Academic/Researcher,0,11,data collection,data storage,data sharing,data profiling,data controls/notice and consent,,,consumer protection,,,,finances,health,national security,law enforcement/public safety,e-government,,
"Paula J. Bruening, Hunton & Williams",Attorney/Litigator,0,8,data storage,data security,data sharing,,,,,freedom from government surveillance/civil liberties,consumer protection,,,national security,law enforcement/public safety,e-government,,,,
Peoples Production House,Non profit**,0,7,data collection,data profiling,data controls/notice and consent,,,,,consumer protection,social justice/anti-discrimination,,,digital divide,race/gender/class,,,,,
"Peter Swire (Moritz College of Law; Ohio State University) 
                ",Academic/Researcher,0,13,data collection,data security,data sharing,data controls/notice and consent,,,,freedom from government surveillance/civil liberties,consumer protection,,,finances,health,energy,labor/workplace,national security,e-government,e-commerce
Privacy Bird,Tool,0,3,data collection,data controls/notice and consent,,,,,,consumer protection,,,,,,,,,,
Privacy Bucket,Tool,0,4,data collection,data profiling,,,,,,consumer protection,,,,e-commerce,,,,,,
Privacy Coalition,Non profit coalition,0,10,data collection,data storage,data security,data sharing,data profiling,,,consumer protection,freedom from government surveillance/civil liberties,,,labor/workplace,law enforcement/public safety,e-commerce,,,,
Privacy International,Non profit,0,9,data collection,data storage,data sharing,,,,,freedom from government surveillance/civil liberties,consumer protection,citizens' speech rights,,finances,national security,law enforcement/public safety,,,,
Privacy Rights Clearinghouse,Non profit,0,11,data collection,data storage,data security,,,,,consumer protection,protection of vulnerable populations,,,children/youth,finances,health,labor/workplace,e-government,e-commerce,
PrivacyActivism,Non profit,0,7,data collection,data storage,,,,,,freedom from government surveillance/civil liberties,citizens' speech rights,,,law enforcement/public safety,e-government,e-commerce,,,,
ProPublica,Non profit,1,7,data collection,data storage,data controls/notice and consent,,,,,consumer protection,citizens' speech rights,,,national security,law enforcement/public safety,,,,,
Public Knowledge,Non profit,1,4,data collection,data controls/notice and consent,,,,,,citizens' speech rights,,,,copyright,,,,,,
"Rebecca Balebako (Carnegie Mellon University)
",Academic/Researcher,0,4,data collection,data controls/notice and consent,,,,,,consumer protection,,,,e-commerce,,,,,,
Reclaim the Media,Non profit**,0,5,data profiling,data controls,,,,,,social justice/anti-discrimination,,,,digital divide,race/gender/class,,,,,
"Robert D. Belfort, Manatt, Phelps & Phillips LLP ",Attorney/Litigator,0,6,data security,data controls/notice and consent,,,,,,protection of vulnerable populations,consumer protection,,,health,e-government,,,,,
Ryan Calo (School of Law; University of Washington),Academic/Researcher,0,7,data collection,data controls/notice and consent,,,,,,freedom from government surveillance/civil liberties,consumer protection,,,national security,law enforcement/public safety,e-commerce,,,,
Serge Egelman (Computer Science; University of California Berkeley),Academic/Researcher,0,3,data controls/notice and consent,,,,,,,consumer protection,,,,e-commerce,,,,,,
SpiderOak ,Tool,0,3,data security,,,,,,,freedom from government surveillance/civil liberties,citizens' speech rights,,,,,,,,,
Stealthier ,Tool,0,3,data collection,data controls/notice and consent,,,,,,consumer protection,,,,,,,,,,
"Stephen Schulhofer (School of Law, New York University)",Academic/Researcher,0,8,data collection,data storage,data profiling,data controls/notice and consent,,,,freedom from government surveillance/civil liberties,social justice/anti-discrimination,,,national security,law enforcement/public safety,,,,,
Strategic Healthcare IT Advanced Research Projects on Security,US (National Level),0,8,data storage,data security,data sharing,data profiling,data controls/notice and consent,,,consumer protection,protection of vulnerable populations,,,health,,,,,,
Tactical Technology Collective,Non profit coalition,0,9,data collection,data storage,data controls/notice and consent,,,,,freedom from government surveillance/civil liberties,citizens' speech rights,social justice/anti-discrimination,,digital divide,national security,law enforcement/public safety,,,,
The Constitution Project,Non profit,1,8,data collection,data storage,data sharing,data profiling,data controls,,,freedom from government surveillance/civil liberties,,,,law enforcement/public safety,national security,,,,,
The Peoples Channel & Durham Community Media,Non profit**,0,7,data collection,data profiling,data controls/notice and consent,,,,,consumer protection,social justice/anti-discrimination,,,digital divide,race/gender/class,,,,,
The Praxis Project,Non profit**,0,4,data collection,,,,,,,social justice/anti-discrimination,,,,digital divide,race/gender/class,,,,,
Tor,Tool,0,7,data collection,data security,data controls/notice and consent,,,,,freedom from government surveillance/civil liberties,protection of vulnerable populations,consumer protection,citizens' speech rights,,,,,,,
TosBack (EFF),Tool,0,3,data controls/notice and consent,,,,,,,freedom from government surveillance/civil liberties,consumer protection,,,,,,,,,
TrackerScan ,Tool,0,4,data collection,data controls/notice and consent,,,,,,consumer protection,,,,e-commerce,,,,,,
TrackMeNot ,Tool,0,5,data collection,data profiling,data controls/notice and consent,,,,,consumer protection,,,,e-commerce,,,,,,
Transatlantic Consumer Dialogue,Non profit/for profit coalition,0,11,data collection,data storage,data security,data sharing,data profiling,data controls/notice and consent,,consumer protection,,,,children/youth,finances,health,e-commerce,,,
TrueCrypt ,Tool,0,4,data collection,data controls/notice and consent,,,,,,freedom from government surveillance/civil liberties,citizens' speech rights,,,,,,,,,
TrueCrypt ,Tool,0,5,data collection,data security,data controls/notice and consent,,,,,freedom from government surveillance/civil liberties,citizens' speech rights,,,,,,,,,
US Dept of Health and Human Services,US (National Level),0,8,data storage,data security,data profiling,data controls/notice and consent,,,,consumer protection,protection of vulnerable populations,,,health,e-government,,,,,
USPIRG,Non profit**,1,6,data collection,data profiling,data controls/notice and consent,,,,,consumer protection,,,,race/gender/class,e-commerce,,,,,
"Wendy Seltzer (Fellow, Information Society Project, Yale Law School; Fellow, Berkman Center for Internet and Society, Harvard Law School)",Academic/Researcher,0,6,data collection,data sharing,data controls/notice and consent,,,,,consumer protection,citizens' speech rights,,,copyright,,,,,,
WhatApp.org,Tool,0,3,data collection,data controls/notice and consent,,,,,,consumer protection,,,,,,,,,,
Which?,Non profit,0,8,data collection,data security,data profiling,data controls/notice and consent,,,,consumer protection,,,,finances,health,e-commerce,,,,
White House Office of Science and Technology Policy,US (National Level),0,3,data controls/notice and consent,,,,,,,consumer protection,,,,e-government,,,,,,
World Privacy Forum,Non profit,1,12,data collection,data identification,data security,data profiling,data controls/notice and consent,,,consumer protection,social justice/anti-discrimination,,,finances,health,digital divide,e-government,labor/workplace,,
Wuala,Tool,0,5,data collection,data security,data controls/notice and consent,,,,,freedom from government surveillance/civil liberties,citizens' speech rights,,,,,,,,,
Yauba,Tool,0,3,data collection,data controls/notice and consent,,,,,,consumer protection,,,,,,,,,,
Zfone,Tool,0,6,data collection,data security,data controls/notice and consent,,,,,freedom from government surveillance/civil liberties,protection of vulnerable populations,citizens' speech rights,,,,,,,,
